noise_condition,preprocess_config,n,positives,predicted_positives,accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp,pooled_roc_auc,pooled_average_precision,mean_fold_roc_auc,std_fold_roc_auc,mean_fold_average_precision,std_fold_average_precision
punctuation,aggressive,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.6750509609784507,0.017741309726195136,0.6798228472418595,0.09071144128213933,0.02267376565440429,0.006192703469690498
whitespace,none,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.8669918462434478,0.14320066559415068,0.8765821480107195,0.057431276149583,0.22775805047403852,0.16166009449320032
whitespace,minimal,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.8669918462434478,0.14320066559415068,0.8765821480107195,0.057431276149583,0.22775805047403852,0.16166009449320032
whitespace,noise_aware,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.8669918462434478,0.14320066559415068,0.8765821480107195,0.057431276149583,0.22775805047403852,0.16166009449320032
whitespace,aggressive,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.6466584158415841,0.016281864106833813,0.6500859057152206,0.10386408102723807,0.021520454768346273,0.009670594655318684
typo,none,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.8531231799650553,0.11946877949056404,0.8615166535240885,0.07828953222101201,0.18750444379349326,0.11709315022368856
typo,minimal,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.8531231799650553,0.11946877949056404,0.8615166535240885,0.07828953222101201,0.18750444379349326,0.11709315022368856
typo,noise_aware,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.8531231799650553,0.11946877949056404,0.8615166535240885,0.07828953222101201,0.18750444379349326,0.11709315022368856
typo,aggressive,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.6587434478741991,0.016378125523269893,0.6622448979591836,0.08743223523372749,0.020408439590580505,0.00579967850887272
word_deletion,none,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.8610585323238206,0.12572577296665782,0.8717895516886488,0.06991413026698919,0.1950562346284633,0.12059974608123468
word_deletion,minimal,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.8610585323238206,0.12572577296665782,0.8717895516886488,0.06991413026698919,0.1950562346284633,0.12059974608123468
word_deletion,noise_aware,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.8610585323238206,0.12572577296665782,0.8717895516886488,0.06991413026698919,0.1950562346284633,0.12059974608123468
word_deletion,aggressive,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.6686808386721025,0.016966432927435805,0.6736910107064116,0.08912088823144772,0.02119755650981796,0.00589887958979637
filler,none,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.8632425742574257,0.11655003274986896,0.8704652549315322,0.059801259670876045,0.18409779164807702,0.11648259120403706
filler,minimal,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.8632425742574257,0.11655003274986896,0.8704652549315322,0.059801259670876045,0.18409779164807702,0.11648259120403706
filler,noise_aware,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.8614953407105417,0.11706404724444999,0.8686084346997783,0.06143260693673329,0.18533238135671196,0.11710882479224437
filler,aggressive,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.6735585323238207,0.01764620942978986,0.6779038009255748,0.08827807531701877,0.02248934643841456,0.006075093371014683
mixed,none,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.8519583576004659,0.11193158820315574,0.8578086455940944,0.0572805753324592,0.16909391169480614,0.09437471745781555
mixed,minimal,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.8519583576004659,0.11193158820315574,0.8578086455940944,0.0572805753324592,0.16909391169480614,0.09437471745781555
mixed,noise_aware,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.8734711706464764,0.11528007131754377,0.8787512481617633,0.03942792008670063,0.17557478160066445,0.09994346062155311
mixed,aggressive,1633,17,0,0.9895897121861604,0.5,0.0,0.0,0.0,1616,0,17,0,0.6691176470588236,0.01915799962260757,0.6705376732195637,0.10976657427074842,0.027079850967174465,0.014054271355064868
